site,ntrees,Phytoregion,Island,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,mean_elv,mean_bdod,mean_cfvo,mean_pH,mean_sand,mean_soc,Area,Dist,GMMC,mean_HMI,mean_FR,mean_EX,LEVEL3_NAM
-10_-50,1222,Americas,Mainland,26.00497685538398,11.8463101916843,70.87558046976726,57.68622377183702,34.09128496381972,17.37304178873698,16.718243175082737,26.01734013027615,25.351327578226726,26.63865868250529,25.260640091366238,1772.0277777777778,288.4166666666667,6.222222222222222,78.21233876546223,826.9444444444445,24.72222222222222,414.6388888888889,52.08333333333333,185.75,1.1853892561408088,4.023696319328408,4.92820694445105,50.13475289045541,27.61557523348555,NA,0,1,0.07996750483608803,0.0052261384844690985,0,Brazil North
-10_-56,2549,Americas,Mainland,26.487563398149277,11.534630219141642,66.99541515774197,58.99558607737224,35.80088869730631,18.585451549953884,17.215437147352432,25.81984371609158,26.82969782087538,27.264284663730198,25.80982192357381,2163.472222222222,340.44444444444446,7.472222222222222,71.91673469543457,984.3888888888889,46.861111111111114,322.6388888888889,975.6111111111111,284.94444444444446,1.130340847174467,1.5184610305162822,4.593731091004506,50.79594651579234,32.27937045597028,NA,0,1,0.20006067212778542,0.026459190793866858,0.0015712839060706308,Brazil West-Central
-10_-57,572,Americas,Mainland,25.970179981655544,11.677643378575643,67.7444313897027,47.86462381150987,34.8644929462009,17.62609010272556,17.238402843475342,25.52255694071452,25.994827535417343,26.636460728115505,25.493039502037895,2146.4444444444443,348.55555555555554,5.75,73.60717010498047,971.4166666666666,37.52777777777778,303.3888888888889,850.5555555555555,284.19444444444446,1.1084305814074145,2.1130555555555555,4.5592013471325235,50.06333333333333,35.53061110297839,NA,0,1,0.12909662224046461,0.04023570559926991,1.3904083397453629e-5,Brazil West-Central
-10_-58,2365,Americas,Mainland,25.54889678955078,11.8795235686832,67.90540716383192,44.308542781405976,34.26057635413276,16.766124884287517,17.49445146984524,25.29679865307278,25.336460802290176,26.134870370229084,25.12035878499349,1974.1944444444443,324.3333333333333,3.6944444444444446,74.59647983974881,917.4722222222222,39.75,266.6666666666667,212.58333333333331,271.3611111111111,1.1299059477660518,2.61088787622821,4.542551077066702,49.61910124938431,28.07084952760357,NA,0,1,0.1411694358295084,0.07594983667041089,0,Brazil West-Central
-10_-59,378,Americas,Mainland,25.388328393300373,11.981982045703464,68.5264629787869,45.54246838887533,33.935187657674156,16.449145793914795,17.486041863759358,25.265769693586563,25.054666466183132,25.924385494656033,24.84297667609321,1946.5833333333333,322.8888888888889,6,75.82334476047092,936.6944444444445,45.888888888888886,234.13888888888889,86.52777777777777,226.19444444444446,1.1403627095214077,3.5854724178403754,4.469832462185705,47.00586561032864,25.70165678847564,NA,0,1,0.1227742213875569,0.06750336848390705,1.1422862914951293e-4,Brazil West-Central
-10_-68,3341,Americas,Mainland,25.120820151435005,10.603770679897732,71.5067024230957,85.70779164632161,31.807881567213272,16.981298552619087,14.826583014594185,25.57502211464776,23.898048718770344,25.832152737511528,23.880400392744278,1714.3055555555557,230.69444444444446,45.833333333333336,47.39166386922201,670.3333333333334,172.94444444444446,514.2777777777778,182.05555555555554,188.97222222222223,1.1492383287621566,5.407504212842363,4.779179768501425,29.034193358615106,30.814539952316647,NA,0,1,0.14011616114126185,0.0439213867133075,0,Brazil North
-10_-69,1628,Americas,Mainland,24.7178701294793,11.12674249543084,74.28115526835124,85.01041221618652,31.352027787102593,16.375013669331867,14.977014117770725,25.227484967973496,23.46710427602132,25.43239943186442,23.46710427602132,1816.6666666666667,263.75,28.77777777777778,57.98781447940402,737.8055555555555,114.13888888888889,599.8333333333334,114.13888888888889,231.5,1.126437530145049,4.04,4.804527754386266,29.002708333333334,23.28599305205875,NA,0,1,0.029757068146207582,0.021388773590147323,0,Brazil North
-10_-75,7541,Americas,Mainland,24.73198890686035,11.241565916273329,85.47608227199979,41.282695081498886,31.018471876780193,17.855770773357815,13.162701103422377,24.910526593526203,24.1638855404324,25.126517295837402,24.15443181991577,2172.8055555555557,287.6666666666667,73.05555555555556,43.39949756198459,807.5277777777778,254.16666666666666,614.3611111111111,254.44444444444446,579.0277777777778,1.095909745088882,8.106736111111111,5.0628958337174526,37.69875,65.96652081674999,NA,0,1,0.04681915036888658,0.032478423780176055,2.4873932615588042e-5,Peru
-10_-76,1504,Americas,Mainland,14.020434882905748,12.961145242055258,81.64089096917047,54.362700144449875,21.202368179957073,5.3102361386020975,15.892132123311361,14.112082110510933,13.277623865339491,14.600385387738545,13.277623865339491,1029.0277777777778,148.05555555555554,23.583333333333336,55.46012941996256,425.6111111111111,83.27777777777777,312.75,83.27777777777777,2916.777777777778,1.0806150910123995,16.62172018806702,5.7900566991456275,40.93313221598433,80.19550694355557,NA,0,1,0.048179048672738325,6.803197700136266e-4,8.289473708610115e-5,Peru
-10_151,522,Asia,Island,25.694004917144774,6.843795490264893,70.94922904968261,90.78367767333984,30.910941886901856,21.272731494903564,9.63821039199829,25.155325412750244,26.373752689361574,26.721092319488527,24.53958339691162,3311.9,364.65,185.75,20.705865812301635,1017.55,619.95,700.55,948.3,164.35,0.981768208909593,9.992775776415412,5.320659744390725,29.538473235442087,78.69023794712473,898.49,827.85,1,0.027847315524652624,0.005080001779951873,0,New Guinea
-10_162,616,Asia,Island,26.085841178894043,7.268479871749878,81.91484909057617,45.645703887939455,30.473271751403807,21.5996452331543,8.873626518249512,26.502979469299316,26.066767120361327,26.55555839538574,25.449941444396973,3344.6,359,223.5,16.494397354125976,1035.8,711,980.5,816.9,111.4,0.9862682919897411,9.76712620728575,5.261120556028691,29.24429550737136,104.1924259272413,2.91,1799.9,0,0.07800553686754977,8.460169585235451e-4,0,Solomon Is.
-11_-52,2044,Americas,Mainland,26.345753722720676,12.990772618187798,71.55876053704156,63.08505768246121,35.19578478071425,17.03474299112956,18.16104178958469,26.504082255893284,25.572985013326008,26.99847110112508,25.43968629837036,1829.9166666666667,311.8888888888889,3.416666666666667,80.07070520189073,889.1666666666666,19.444444444444443,479.1666666666667,48.77777777777778,267.1111111111111,1.2077447857473576,3.1500970837672964,4.887326191865459,56.96255561961679,25.6241492167235,NA,0,1,0.1921860595470774,0.028652479658944668,0,Brazil West-Central
-11_-53,302,Americas,Mainland,25.64432801140679,13.155996534559462,69.4803712632921,58.77805635664198,34.976368268330894,16.040729178322685,18.935639169481064,25.702015029059517,24.94274769888984,26.19308222664727,24.808944596184624,2033.0555555555557,346.3611111111111,2.5,78.72995440165202,987.2222222222222,24.72222222222222,522.1388888888889,53.22222222222222,314.75,1.1302404290681298,3.0571660853359073,4.589064659443463,52.40233405969134,34.220606619316136,NA,0,1,0.09362372631786971,0.010819946619303468,0,Brazil West-Central
-11_-55,528,Americas,Mainland,25.53469075096978,12.681536436080933,68.73754437764485,49.74404917822944,34.809999783833824,16.35915978749593,18.45083999633789,25.327992068396675,25.176149209340412,26.108703666263157,24.986248705122208,1975.138888888889,327.30555555555554,1.6111111111111114,78.45461421542697,930.8611111111111,22.861111111111107,356.55555555555554,257.4444444444445,346.8611111111111,1.1830490599409422,1.4508757127066987,4.607622396377495,48.86424195229653,26.16442479777292,NA,0,1,0.18844832097396524,0.036832820660344046,8.655927243413464e-4,Brazil West-Central
-11_-58,383,Americas,Mainland,25.14403115378486,12.454746511247423,69.23268805609808,57.83288839128282,33.63027795155843,15.639867968029446,17.99041001001994,25.14514223734538,24.506210486094158,25.744041389889187,24.369862185584175,1982.5277777777778,336.77777777777777,2.5277777777777777,78.08134672376845,967.3055555555555,33.138888888888886,424.55555555555554,66.02777777777777,292.9166666666667,1.1533493636781396,2.3039175058554555,4.458572023481841,56.39230934483183,26.823255186024003,NA,0,1,0.1107516793758251,0.036338090406006406,5.889153069878712e-6,Brazil West-Central
-11_-66,1847,Americas,Mainland,26.87286917368571,10.407798555162218,73.18505032857259,66.29044977823894,33.61251364813911,19.391534699334038,14.220978948805067,26.955504576365154,26.066902743445503,27.633318106333416,25.994212945302326,1702.75,266.97222222222223,20.63888888888889,64.5706557167901,755.75,80.27777777777777,396.8611111111111,143.66666666666666,153.16666666666666,1.1228750313207896,9.287236067971254,4.7748463152017475,34.83076511914362,34.81529126254947,NA,0,1,0.029593524313164362,0.01163056210801194,0,Bolivia
-11_-67,655,Americas,Mainland,26.211645126342773,10.0435434712304,70.94414859347873,76.5702862209744,32.72175704108344,18.56352096133762,14.158236079745823,26.495497862497967,25.16846646202935,26.941518783569336,25.13984039094713,1697.9722222222222,256.77777777777777,26.72222222222222,58.94186358981662,723.4166666666666,112.91666666666667,447.5833333333333,149.30555555555554,174.91666666666666,1.1074352467767854,8.579543720863095,4.8879328848057435,32.625315980210644,34.808001156450466,NA,0,1,0.01312387945159507,0.00395488576716939,0,Bolivia
