site,interpolated_alpha,Island,Lat,Long
99_Kalimantan,39.673,Kalimantan,1.981733333,117.25115
100_Kalimantan,44.285,Kalimantan,1.981733333,117.25115
101_Kalimantan,43.724,Kalimantan,1.981733333,117.25115
102_Kalimantan,43.119,Kalimantan,1.981733333,117.25115
103_Kalimantan,39.604,Kalimantan,1.981733333,117.25115
71_Kalimantan,38.849,Kalimantan,-0.81755,116.3464833
70_Kalimantan,34.407,Kalimantan,-0.81755,116.3447333
73_Kalimantan,34.419,Kalimantan,-0.902633333,116.56315
74_Kalimantan,44.532,Kalimantan,-0.902633333,116.5657833
69_Kalimantan,40.705,Kalimantan,-0.81755,116.3421
93_Kalimantan,49.551,Kalimantan,-0.990316667,116.9479667
94_Kalimantan,45.913,Kalimantan,-0.990316667,116.9479667
95_Kalimantan,43.667,Kalimantan,-0.990316667,116.9479667
96_Kalimantan,44.466,Kalimantan,-0.990316667,116.9479667
97_Kalimantan,45.921,Kalimantan,-0.990316667,116.9479667
9_Sumatra,46.726,Sumatra,1.5278,99.13628709
10_Sumatra,42.018,Sumatra,1.5683,99.15896261
12_Sumatra,48.441,Sumatra,1.5929,99.18789481
11_Sumatra,49.767,Sumatra,1.6289,99.17098733
68_Kalimantan,27.311,Kalimantan,-2.2582,114.3739
8_Sumatra,17.2,Sumatra,3.052,97.43479
7_Sumatra,17.116,Sumatra,3.0418,97.42527
72_Kalimantan,54.288,Kalimantan,3.0139,116.5207
20_Java,22.149,Java,-6.93333,108.4333
19_Java,14.561,Java,-6.75,107.6
109_Sulawesi,37.693,Sulawesi,-1.603,120.076
108_Sulawesi,22.161,Sulawesi,-1.616,120.074
114_Sulawesi,36.639,Sulawesi,-1.588,120.284
113_Sulawesi,34.863,Sulawesi,-1.415,120.279
111_Sulawesi,17.265,Sulawesi,-1.76521,120.15991
117_Sulawesi,16.141,Sulawesi,-1.287,120.312
110_Sulawesi,26.501,Sulawesi,-1.7,120.15
112_Sulawesi,28.619,Sulawesi,-1.699,120.16
174_Yamdena,20.098,Yamdena,-7.3707,131.4082
175_Yamdena,16.011,Yamdena,-7.3707,131.4082
176_Yamdena,22.409,Yamdena,-7.3707,131.4082
177_Yamdena,18.537,Yamdena,-7.3707,131.4082
178_Yamdena,21.698,Yamdena,-7.3707,131.4082
179_Yamdena,19.458,Yamdena,-7.383469,131.416894
180_Yamdena,17.583,Yamdena,-7.383469,131.416894
181_Yamdena,17.515,Yamdena,-7.383469,131.416894
182_Yamdena,17.257,Yamdena,-7.383469,131.416894
183_Yamdena,17.133,Yamdena,-7.383469,131.416894
184_Yamdena,14.033,Yamdena,-7.383469,131.416894
205_Yamdena,17.923,Yamdena,-7.605917,131.566861
206_Yamdena,18.704,Yamdena,-7.605917,131.566861
207_Yamdena,20.511,Yamdena,-7.605917,131.566861
208_Yamdena,18.948,Yamdena,-7.605917,131.566861
209_Yamdena,16.144,Yamdena,-7.605917,131.566861
210_Yamdena,17.65,Yamdena,-7.605917,131.566861
211_Yamdena,17.903,Yamdena,-7.605917,131.566861
191_Yamdena,23.388,Yamdena,-7.630688,131.451248
